sample,fastq_1,fastq_2,strandedness
0Hr_1_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/0Hr_1_Rep_S1_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/0Hr_1_Rep_S1_R2_001.fastq.gz,auto
0Hr_2_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/0Hr_2_Rep_S2_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/0Hr_2_Rep_S2_R2_001.fastq.gz,auto
0Hr_3_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/0Hr_3_Rep_S3_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/0Hr_3_Rep_S3_R2_001.fastq.gz,auto
0Hr_4_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/0Hr_4_Rep_S4_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/0Hr_4_Rep_S4_R2_001.fastq.gz,auto
24Hr_1_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/24Hr_1_Rep_S5_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/24Hr_1_Rep_S5_R2_001.fastq.gz,auto
24Hr_2_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/24Hr_2_Rep_S6_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/24Hr_2_Rep_S6_R2_001.fastq.gz,auto
24Hr_3_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/24Hr_3_Rep_S7_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/24Hr_3_Rep_S7_R2_001.fastq.gz,auto
24Hr_4_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/24Hr_4_Rep_S8_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/24Hr_4_Rep_S8_R2_001.fastq.gz,auto
48Hr_1_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/48Hr_1_Rep_S9_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/48Hr_1_Rep_S9_R2_001.fastq.gz,auto
48Hr_2_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/48Hr_2_Rep_S10_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/48Hr_2_Rep_S10_R2_001.fastq.gz,auto
48Hr_3_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/48Hr_3_Rep_S11_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/48Hr_3_Rep_S11_R2_001.fastq.gz,auto
48Hr_4_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/48Hr_4_Rep_S12_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/48Hr_4_Rep_S12_R2_001.fastq.gz,auto
72Hr_1_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/72Hr_1_Rep_S13_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/72Hr_1_Rep_S13_R2_001.fastq.gz,auto
72Hr_2_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/72Hr_2_Rep_S14_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/72Hr_2_Rep_S14_R2_001.fastq.gz,auto
72Hr_3_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/72Hr_3_Rep_S15_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/72Hr_3_Rep_S15_R2_001.fastq.gz,auto
72Hr_4_Rep,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/72Hr_4_Rep_S16_R1_001.fastq.gz,/mnt/shared/projects/jhi/potato/202307_Aman_RNASeq/RNA-Seq_240213_VH00754_57_AAFFHGCM5/72Hr_4_Rep_S16_R2_001.fastq.gz,auto
